order_id,customer_id,order_date,status,book_id,quantity,unit_price,line_total,order_month
1,1,2024-01-05 10:30:00,Delivered,1891,3,517.4,1552.2,2024-01
2,2,2024-01-05 14:20:00,Delivered,899,3,470.2,1410.6,2024-01
2,2,2024-01-05 14:20:00,Delivered,895,1,554.2,554.2,2024-01
2,2,2024-01-05 14:20:00,Delivered,34,3,513.6,1540.8,2024-01
3,3,2024-01-06 09:15:00,Delivered,1381,2,504.3,1008.6,2024-01
4,4,2024-01-07 11:45:00,Delivered,1891,1,517.4,517.4,2024-01
5,5,2024-01-08 16:30:00,Delivered,896,3,466.0,1398.0,2024-01
5,5,2024-01-08 16:30:00,Delivered,201,1,479.1,479.1,2024-01
6,6,2024-01-10 10:00:00,Delivered,326,3,504.8,1514.4,2024-01
6,6,2024-01-10 10:00:00,Delivered,1964,3,489.8,1469.4,2024-01
7,7,2024-01-12 13:20:00,Delivered,895,1,554.2,554.2,2024-01
7,7,2024-01-12 13:20:00,Delivered,1230,1,500.6,500.6,2024-01
7,7,2024-01-12 13:20:00,Delivered,1381,3,504.3,1512.9,2024-01
7,7,2024-01-12 13:20:00,Delivered,968,2,502.7,1005.4,2024-01
8,8,2024-01-15 15:40:00,Delivered,968,2,502.7,1005.4,2024-01
8,8,2024-01-15 15:40:00,Delivered,524,1,447.2,447.2,2024-01
8,8,2024-01-15 15:40:00,Delivered,536,1,484.5,484.5,2024-01
9,9,2024-01-18 09:30:00,Delivered,960,2,529.0,1058.0,2024-01
9,9,2024-01-18 09:30:00,Delivered,1945,1,563.0,563.0,2024-01
9,9,2024-01-18 09:30:00,Delivered,1947,3,495.7,1487.1,2024-01
9,9,2024-01-18 09:30:00,Delivered,104,2,521.0,1042.0,2024-01
10,10,2024-01-20 14:15:00,Delivered,1936,1,519.2,519.2,2024-01
11,11,2024-01-22 11:00:00,Delivered,1960,3,496.2,1488.6,2024-01
11,11,2024-01-22 11:00:00,Delivered,1962,1,553.0,553.0,2024-01
11,11,2024-01-22 11:00:00,Delivered,1938,3,529.5,1588.5,2024-01
12,12,2024-01-25 16:45:00,Delivered,1893,3,509.0,1527.0,2024-01
13,13,2024-01-27 10:30:00,Delivered,1420,1,489.1,489.1,2024-01
13,13,2024-01-27 10:30:00,Delivered,937,1,540.6,540.6,2024-01
14,14,2024-01-29 13:50:00,Delivered,1936,2,519.2,1038.4,2024-01
15,15,2024-01-30 15:20:00,Delivered,1967,2,553.0,1106.0,2024-01
15,15,2024-01-30 15:20:00,Delivered,1938,1,529.5,529.5,2024-01
15,15,2024-01-30 15:20:00,Delivered,525,3,478.1,1434.3,2024-01
15,15,2024-01-30 15:20:00,Delivered,1940,2,511.8,1023.6,2024-01
16,16,2024-02-02 10:15:00,Delivered,104,3,521.0,1563.0,2024-02
17,17,2024-02-04 14:30:00,Delivered,1617,1,484.1,484.1,2024-02
17,17,2024-02-04 14:30:00,Delivered,324,1,507.4,507.4,2024-02
18,18,2024-02-06 09:45:00,Delivered,1936,3,519.2,1557.6,2024-02
18,18,2024-02-06 09:45:00,Delivered,972,1,528.2,528.2,2024-02
18,18,2024-02-06 09:45:00,Delivered,1967,3,553.0,1659.0,2024-02
18,18,2024-02-06 09:45:00,Delivered,1952,2,482.3,964.6,2024-02
19,19,2024-02-08 11:20:00,Delivered,896,1,466.0,466.0,2024-02
20,20,2024-02-10 16:00:00,Delivered,16,1,468.4,468.4,2024-02
20,20,2024-02-10 16:00:00,Delivered,972,3,528.2,1584.6,2024-02
20,20,2024-02-10 16:00:00,Delivered,5,3,525.3,1575.9,2024-02
21,21,2024-02-12 10:30:00,Delivered,536,2,484.5,969.0,2024-02
21,21,2024-02-12 10:30:00,Delivered,1964,3,489.8,1469.4,2024-02
21,21,2024-02-12 10:30:00,Delivered,190,2,558.6,1117.2,2024-02
22,22,2024-02-14 13:15:00,Delivered,969,1,500.5,500.5,2024-02
22,22,2024-02-14 13:15:00,Delivered,34,3,513.6,1540.8,2024-02
23,23,2024-02-16 15:45:00,Delivered,320,3,504.3,1512.9,2024-02
23,23,2024-02-16 15:45:00,Delivered,1382,2,501.7,1003.4,2024-02
23,23,2024-02-16 15:45:00,Delivered,1229,2,487.7,975.4,2024-02
24,24,2024-02-18 09:20:00,Delivered,34,2,513.6,1027.2,2024-02
24,24,2024-02-18 09:20:00,Delivered,194,1,558.6,558.6,2024-02
25,25,2024-02-20 14:50:00,Delivered,2,1,566.0,566.0,2024-02
26,26,2024-02-22 11:30:00,Delivered,1959,3,495.9,1487.7,2024-02
26,26,2024-02-22 11:30:00,Delivered,1229,1,487.7,487.7,2024-02
27,27,2024-02-24 16:15:00,Delivered,1936,2,519.2,1038.4,2024-02
27,27,2024-02-24 16:15:00,Delivered,113,3,568.2,1704.6,2024-02
27,27,2024-02-24 16:15:00,Delivered,1618,1,477.2,477.2,2024-02
27,27,2024-02-24 16:15:00,Delivered,1619,3,491.9,1475.7,2024-02
28,28,2024-02-26 10:40:00,Delivered,1959,3,495.9,1487.7,2024-02
29,29,2024-02-28 13:00:00,Delivered,1420,1,489.1,489.1,2024-02
29,29,2024-02-28 13:00:00,Delivered,1956,2,488.0,976.0,2024-02
29,29,2024-02-28 13:00:00,Delivered,1935,2,516.6,1033.2,2024-02
30,30,2024-03-01 10:20:00,Delivered,1226,3,495.9,1487.7,2024-03
30,30,2024-03-01 10:20:00,Delivered,3,3,509.1,1527.3,2024-03
31,31,2024-03-03 14:40:00,Delivered,201,3,479.1,1437.3,2024-03
31,31,2024-03-03 14:40:00,Delivered,1433,1,475.0,475.0,2024-03
31,31,2024-03-03 14:40:00,Delivered,872,3,474.0,1422.0,2024-03
32,32,2024-03-05 09:30:00,Delivered,1967,1,553.0,553.0,2024-03
32,32,2024-03-05 09:30:00,Delivered,201,1,479.1,479.1,2024-03
32,32,2024-03-05 09:30:00,Delivered,104,2,521.0,1042.0,2024-03
33,33,2024-03-07 11:50:00,Delivered,1845,3,479.3,1437.9,2024-03
33,33,2024-03-07 11:50:00,Delivered,1438,1,484.2,484.2,2024-03
34,34,2024-03-09 16:10:00,Delivered,183,2,484.0,968.0,2024-03
34,34,2024-03-09 16:10:00,Delivered,1889,2,509.0,1018.0,2024-03
34,34,2024-03-09 16:10:00,Delivered,2,1,566.0,566.0,2024-03
35,35,2024-03-11 10:45:00,Delivered,892,3,454.3,1362.9,2024-03
36,36,2024-03-13 13:25:00,Delivered,965,3,506.2,1518.6,2024-03
37,37,2024-03-15 15:55:00,Delivered,5,1,525.3,525.3,2024-03
37,37,2024-03-15 15:55:00,Delivered,1433,1,475.0,475.0,2024-03
37,37,2024-03-15 15:55:00,Delivered,1617,3,484.1,1452.3,2024-03
37,37,2024-03-15 15:55:00,Delivered,1420,2,489.1,978.2,2024-03
38,38,2024-03-17 09:40:00,Delivered,969,3,500.5,1501.5,2024-03
38,38,2024-03-17 09:40:00,Delivered,1619,2,491.9,983.8,2024-03
39,39,2024-03-19 14:00:00,Delivered,1845,3,479.3,1437.9,2024-03
39,39,2024-03-19 14:00:00,Delivered,1436,3,489.9,1469.7,2024-03
40,40,2024-03-21 11:15:00,Delivered,326,2,504.8,1009.6,2024-03
40,40,2024-03-21 11:15:00,Delivered,930,3,507.2,1521.6,2024-03
41,41,2024-03-23 16:30:00,Delivered,1228,1,489.4,489.4,2024-03
41,41,2024-03-23 16:30:00,Delivered,187,1,480.4,480.4,2024-03
41,41,2024-03-23 16:30:00,Delivered,1230,1,500.6,500.6,2024-03
42,42,2024-03-25 10:50:00,Delivered,1935,1,516.6,516.6,2024-03
43,43,2024-03-27 13:10:00,Delivered,1381,1,504.3,504.3,2024-03
43,43,2024-03-27 13:10:00,Delivered,895,1,554.2,554.2,2024-03
44,44,2024-03-29 15:35:00,Delivered,896,1,466.0,466.0,2024-03
45,45,2024-03-31 09:55:00,Delivered,1941,1,563.0,563.0,2024-03
46,46,2024-04-02 10:25:00,Delivered,968,2,502.7,1005.4,2024-04
46,46,2024-04-02 10:25:00,Delivered,1957,1,493.9,493.9,2024-04
47,47,2024-04-04 14:45:00,Delivered,322,3,512.0,1536.0,2024-04
47,47,2024-04-04 14:45:00,Delivered,1384,2,482.6,965.2,2024-04
48,48,2024-04-06 09:35:00,Delivered,901,1,503.4,503.4,2024-04
48,48,2024-04-06 09:35:00,Delivered,14,1,489.3,489.3,2024-04
49,49,2024-04-08 11:55:00,Delivered,1961,2,496.5,993.0,2024-04
50,50,2024-04-10 16:20:00,Delivered,1229,3,487.7,1463.1,2024-04
50,50,2024-04-10 16:20:00,Delivered,14,1,489.3,489.3,2024-04
50,50,2024-04-10 16:20:00,Delivered,1618,3,477.2,1431.6,2024-04
51,1,2024-04-12 10:50:00,Delivered,1885,2,497.7,995.4,2024-04
52,2,2024-04-14 13:30:00,Delivered,6,1,554.8,554.8,2024-04
52,2,2024-04-14 13:30:00,Delivered,899,3,470.2,1410.6,2024-04
52,2,2024-04-14 13:30:00,Delivered,865,2,473.9,947.8,2024-04
53,3,2024-04-16 15:00:00,Delivered,1229,2,487.7,975.4,2024-04
53,3,2024-04-16 15:00:00,Delivered,864,2,473.4,946.8,2024-04
54,4,2024-04-18 09:45:00,Delivered,4,3,511.4,1534.2,2024-04
54,4,2024-04-18 09:45:00,Delivered,1228,1,489.4,489.4,2024-04
55,5,2024-04-20 14:10:00,Delivered,1964,3,489.8,1469.4,2024-04
56,6,2024-04-22 11:25:00,Delivered,966,1,457.2,457.2,2024-04
57,7,2024-04-24 16:40:00,Delivered,14,2,489.3,978.6,2024-04
57,7,2024-04-24 16:40:00,Delivered,183,1,484.0,484.0,2024-04
58,8,2024-04-26 10:55:00,Delivered,1885,2,497.7,995.4,2024-04
58,8,2024-04-26 10:55:00,Delivered,526,2,475.7,951.4,2024-04
58,8,2024-04-26 10:55:00,Delivered,1936,2,519.2,1038.4,2024-04
58,8,2024-04-26 10:55:00,Delivered,3,2,509.1,1018.2,2024-04
